"id","fulfillmentSite","storeName","shoppingCenter","address","phoneNumber","geoLocation","timezone","storeType","isInventoryExposedOnline","isBopisEnabled","isCurbsidePickupEnabled","storePickupLocationName","storeHours","distanceInMiles"
1120,"1120","Town Center Crossing Retail Store","Town Center Crossing","{""addressLine1"":""4401 W. 119 Street"",""city"":""Leawood"",""jurisdictionCode"":""KS"",""postalCode"":""66209""}","1-888-534-5804","{""latitude"":38.91163461,""longitude"":-94.636781}","America/Chicago","Retail",true,true,true,"Town Center Crossing","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""12:00"",""closeTime"":""17:00"",""totalOpenHours"":5},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9}]",458.16
800,"0800","Ross Park Retail Store","Ross Park Mall","{""addressLine1"":""1000 Ross Park Mall Drive"",""city"":""Pittsburgh"",""jurisdictionCode"":""PA"",""postalCode"":""15237""}","1-888-552-5571","{""latitude"":40.54259337,""longitude"":-80.00912073}","America/New_York","Retail",true,true,true,"Ross Park Mall","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",464.9
1210,"1210","Boulevard Retail Store","Boulevard Consumer Square","{""addressLine1"":""1565 Niagara Falls Boulevard,"",""city"":""Amherst"",""jurisdictionCode"":""NY"",""postalCode"":""14228""}","1-888-303-9727","{""latitude"":42.99823954,""longitude"":-78.82147536}","America/New_York","Retail",true,true,true,"Boulevard Consumer Square","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""09:00"",""closeTime"":""20:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""09:00"",""closeTime"":""20:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""09:00"",""closeTime"":""20:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""10:00"",""closeTime"":""17:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""09:00"",""closeTime"":""20:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""09:00"",""closeTime"":""20:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""09:00"",""closeTime"":""20:00"",""totalOpenHours"":11}]",472.74
810,"0810","Eastview Retail Store","Eastview Mall","{""addressLine1"":""60 Eastview Mall Drive"",""city"":""Victor"",""jurisdictionCode"":""NY"",""postalCode"":""14564""}","1-888-552-5583","{""latitude"":43.026312,""longitude"":-77.443766}","America/New_York","Retail",true,true,true,"Eastview Mall","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",541.73
970,"0970","Fayetteville Retail Store","Towne Center Mall","{""addressLine1"":""304 Towne Center Drive"",""city"":""Fayetteville"",""jurisdictionCode"":""NY"",""postalCode"":""13066""}","1-888-615-9967","{""latitude"":43.03323757,""longitude"":-76.0206057}","America/New_York","Retail",true,true,true,"Towne Center Mall","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",613.16
1360,"1360","Stonefield Retail Store","The Shops At Stonefield","{""addressLine1"":""2015 Bond Street"",""city"":""Charlottesville"",""jurisdictionCode"":""VA"",""postalCode"":""22901""}","1-888-660-1569","{""latitude"":38.063896,""longitude"":-78.490876}","America/New_York","Retail",true,true,true,"The Shops At Stonefield","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""12:00"",""closeTime"":""18:00"",""totalOpenHours"":6},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9}]",628.15
1340,"1340","Pike and Rose Retail Store","Pike And Rose","{""addressLine1"":""925 Rose Ave"",""city"":""North Bethesda"",""jurisdictionCode"":""MD"",""postalCode"":""20852""}","1-888-660-1570","{""latitude"":39.05133434,""longitude"":-77.11637006}","America/New_York","Retail",true,true,false,"Pike And Rose","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",649.53
1090,"1090","Short Pump Retail Store","Short Pump Town Center","{""addressLine1"":""11800 West Broad Street,"",""city"":""Richmond"",""jurisdictionCode"":""VA"",""postalCode"":""23233""}","1-888-534-5803","{""latitude"":37.65612296,""longitude"":-77.61926815}","America/New_York","Retail",true,true,false,"Short Pump Town Center","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",682.88
510,"0510","Saucon Valley Retail Store","The Promenade Shops At Saucon Valley","{""addressLine1"":""3301 Center Valley Pkwy"",""city"":""Center Valley"",""jurisdictionCode"":""PA"",""postalCode"":""18034""}","1-888-552-9885","{""latitude"":40.558716,""longitude"":-75.413718}","America/New_York","Retail",true,true,true,"The Promenade Shops At Saucon Valley","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",685.01
890,"0890","King Of Prussia Retail Store","The Plaza At King Of Prussia Mall","{""addressLine1"":""160 North Gulph Road"",""city"":""King Of Prussia"",""jurisdictionCode"":""PA"",""postalCode"":""19406""}","1-888-473-1828","{""latitude"":40.08817044,""longitude"":-75.39265811}","America/New_York","Retail",true,true,false,"The Plaza At King Of Prussia Mall","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11}]",698.35
